canonical_target,samples,correct,accuracy,coverage,endpoint_errors,average_confidence
building,2669,1559,0.5841139003372049,1.0,0,0.7418390202195391
road,880,694,0.7886363636363637,1.0,0,0.8516351028366692
water,861,444,0.5156794425087108,1.0,0,0.5951291751051614
building vs road,585,528,0.9025641025641026,1.0,0,0.9294852882368951
grassland,559,298,0.5330948121645797,1.0,0,0.6694021698500634
building vs water,553,509,0.9204339963833634,1.0,0,0.9396579088828447
scene,482,314,0.6514522821576764,1.0,0,0.7289822152371352
road vs building,415,376,0.9060240963855422,1.0,0,0.9454097858394485
forest,407,209,0.5135135135135135,1.0,0,0.6008393018156363
water vs building,367,344,0.9373297002724795,1.0,0,0.939883541021425
building vs grassland,300,261,0.87,1.0,0,0.9271818558375041
grassland vs building,225,198,0.88,1.0,0,0.9233622460895115
agriculture,198,116,0.5858585858585859,1.0,0,0.62597743888395
building vs forest,163,141,0.8650306748466258,1.0,0,0.9185858368873596
road vs water,142,132,0.9295774647887324,1.0,0,0.9641404428952177
water vs road,126,119,0.9444444444444444,1.0,0,0.9358413787115187
forest vs building,119,100,0.8403361344537815,1.0,0,0.8487430310048977
building vs building,116,93,0.8017241379310345,1.0,0,0.8151817429682304
grassland vs water,83,77,0.927710843373494,1.0,0,0.942730750664171
road vs grassland,80,71,0.8875,1.0,0,0.82294000685215
grassland vs road,79,66,0.8354430379746836,1.0,0,0.8022051423410826
building vs agriculture,69,62,0.8985507246376812,1.0,0,0.9183906964633776
water vs grassland,64,61,0.953125,1.0,0,0.943590147420764
scrub,55,27,0.4909090909090909,1.0,0,0.6275804986330595
road vs forest,51,27,0.5294117647058824,1.0,0,0.8597141457538978
water vs forest,47,39,0.8297872340425532,1.0,0,0.9035790207538199
forest vs water,42,39,0.9285714285714286,1.0,0,0.8566701525733584
wetland,39,22,0.5641025641025641,1.0,0,0.6570765903362861
agriculture vs building,36,34,0.9444444444444444,1.0,0,0.8762745774454541
forest vs road,35,26,0.7428571428571429,1.0,0,0.8637395569256374
building vs scrub,23,18,0.782608695652174,1.0,0,0.8651951551437378
water vs agriculture,20,14,0.7,1.0,0,0.842225044965744
road vs road,15,12,0.8,1.0,0,0.8733991503715515
agriculture vs road,14,11,0.7857142857142857,1.0,0,0.8699140080383846
scrub vs building,11,8,0.7272727272727273,1.0,0,0.8349403955719688
agriculture vs water,10,8,0.8,1.0,0,0.8115223824977875
road vs agriculture,10,8,0.8,1.0,0,0.849088329076767
industrial_area,9,8,0.8888888888888888,1.0,0,0.9413234061665006
heath,8,7,0.875,1.0,0,0.9473444521427155
road vs scrub,6,6,1.0,1.0,0,0.8058452308177948
water vs water,6,3,0.5,1.0,0,0.7827048103014628
scrub vs road,5,4,0.8,1.0,0,0.876052987575531
building vs wetland,4,4,1.0,1.0,0,0.9940924942493439
wetland vs building,3,2,0.6666666666666666,1.0,0,0.7320366899172465
agriculture vs grassland,2,0,0.0,1.0,0,0.6303309202194214
grassland vs forest,2,2,1.0,1.0,0,0.9991340041160583
road vs wetland,2,2,1.0,1.0,0,0.8610039949417114
water vs scrub,2,0,0.0,1.0,0,0.7643528878688812
grassland vs grassland,1,1,1.0,1.0,0,0.5406146049499512
scrub vs grassland,1,1,1.0,1.0,0,0.835529625415802
scrub vs water,1,1,1.0,1.0,0,0.7894747257232666
water vs wetland,1,1,1.0,1.0,0,0.982702374458313
wetland vs road,1,1,1.0,1.0,0,0.9994206428527832
