target,target_details,samples,answered_count,null_count,coverage,coverage_percent,null_rate,null_rate_percent,correct_count,overall_accuracy,overall_accuracy_percent,answered_only_accuracy,answered_only_accuracy_percent,average_confidence,average_latency_ms,median_latency_ms,p95_latency_ms,majority_label,majority_baseline_accuracy,majority_baseline_accuracy_percent
buildings,"[""buildings""]",8,6,2,0.75,75.0,0.25,25.0,5,0.625,62.5,0.8333333333333334,83.33,0.0625,1346.125,1374.0,2187.95,no,0.75,75.0
commercial buildings,"[""commercial buildings""]",11,9,2,0.8181818181818182,81.82,0.18181818181818182,18.18,4,0.36363636363636365,36.36,0.4444444444444444,44.44,0.090909,1586.545,1327.0,3548.0,no,0.36363636363636365,36.36
forest,"[""forest""]",4,0,4,0.0,0.0,1.0,100.0,0,0.0,0.0,,,0.1875,915.75,929.5,1279.4,no,0.75,75.0
grass,"[""grass""]",6,3,3,0.5,50.0,0.5,50.0,3,0.5,50.0,1.0,100.0,0.208333,692.5,476.5,1334.25,yes,0.8333333333333334,83.33
heath,"[""heath""]",1,0,1,0.0,0.0,1.0,100.0,0,0.0,0.0,,,0.5,459.0,459.0,459.0,yes,1.0,100.0
other,"[""industrial"", ""scrub"", ""wetland""]",4,0,4,0.0,0.0,1.0,100.0,0,0.0,0.0,,,0.25,579.25,451.5,1203.65,no,0.75,75.0
residential buildings,"[""residential buildings""]",3,2,1,0.6666666666666666,66.67,0.3333333333333333,33.33,0,0.0,0.0,0.0,0.0,0.0,1328.333,1327.0,1333.3,27,0.3333333333333333,33.33
roads,"[""roads""]",16,13,3,0.8125,81.25,0.1875,18.75,8,0.5,50.0,0.6153846153846154,61.54,0.0625,1536.062,1332.5,2961.0,no,0.5,50.0
rural/urban scene,"[""rural/urban scene""]",5,5,0,1.0,100.0,0.0,0.0,2,0.4,40.0,0.4,40.0,0.45,327.4,457.0,546.8,urban,0.8,80.0
water,"[""water""]",8,7,1,0.875,87.5,0.125,12.5,4,0.5,50.0,0.5714285714285714,57.14,0.0625,1735.875,2148.0,2300.9,no,0.375,37.5
