question_type,wording_pattern,samples,answered_count,null_count,coverage,coverage_percent,null_rate,null_rate_percent,correct_count,overall_accuracy,overall_accuracy_percent,answered_only_accuracy,answered_only_accuracy_percent,average_confidence,average_latency_ms,median_latency_ms,p95_latency_ms,majority_label,majority_baseline_accuracy,majority_baseline_accuracy_percent
comp,equal/same,3,1,2,0.3333333333333333,33.33,0.6666666666666666,66.67,0,0.0,0.0,0.0,0.0,0.083333,2236.667,936.0,4459.5,no,1.0,100.0
comp,less/fewer,6,3,3,0.5,50.0,0.5,50.0,2,0.3333333333333333,33.33,0.6666666666666666,66.67,0.041667,1784.167,1745.0,2300.75,no,0.6666666666666666,66.67
comp,more/greater,6,5,1,0.8333333333333334,83.33,0.16666666666666666,16.67,4,0.6666666666666666,66.67,0.8,80.0,0.041667,1853.167,1966.5,2238.75,no,0.6666666666666666,66.67
count,amount of,1,1,0,1.0,100.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,971.0,971.0,971.0,4,1.0,100.0
count,how many,6,4,2,0.6666666666666666,66.67,0.3333333333333333,33.33,3,0.5,50.0,0.75,75.0,0.083333,977.667,1130.5,1341.5,0,0.5,50.0
count,number of,7,7,0,1.0,100.0,0.0,0.0,2,0.2857142857142857,28.57,0.2857142857142857,28.57,0.0,1267.571,1327.0,1332.7,0,0.2857142857142857,28.57
count,relational count,1,1,0,1.0,100.0,0.0,0.0,1,1.0,100.0,1.0,100.0,0.0,1350.0,1350.0,1350.0,0,1.0,100.0
presence,is there,11,8,3,0.7272727272727273,72.73,0.2727272727272727,27.27,5,0.45454545454545453,45.45,0.625,62.5,0.318182,363.727,465.0,481.0,yes,0.6363636363636364,63.64
presence,visible/can you see,4,0,4,0.0,0.0,1.0,100.0,0,0.0,0.0,,,0.25,446.25,449.5,472.05,no,0.5,50.0
rural_urban,rural-or-urban,5,5,0,1.0,100.0,0.0,0.0,2,0.4,40.0,0.4,40.0,0.45,327.4,457.0,546.8,urban,0.8,80.0
