question_type,ground_truth,total,no,yes,rural,urban,0,10,2,20,201+,27,3,33,4,40,53,8,9
comp,no,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comp,yes,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
count,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
count,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
count,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
count,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
count,201+,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
count,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
count,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
count,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
count,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
presence,no,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
presence,yes,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rural_urban,rural,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rural_urban,urban,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
