ground_truth,total,no,yes,rural,urban,0,1,10,2,20,246,27,33,3428,4,8,<null>
no,17,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11
yes,13,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7
rural,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
urban,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
246,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
<null>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
