workflow,iteration,phase,http_status,end_to_end_ms,model_load_ms,specialist_ms,peak_rss_before_mb,peak_rss_after_mb,peak_rss_delta_mb,result_status
single_image,0,cold_or_first,200,7709.700875,3614,1910,768.953125,4932.9375,4163.984375,COMPLETED
single_image,1,warm,200,942.3572910000005,0,1870,4932.9375,4932.9375,0.0,COMPLETED
grounding,0,cold_or_first,200,2429.7595419999993,372,2420,4932.9375,5164.203125,231.265625,COMPLETED
grounding,1,warm,200,1079.707749999999,0,1071,5164.203125,5164.578125,0.375,COMPLETED
sar_single_image,0,cold_or_first,200,15.91170900000094,0,0,5164.578125,5173.109375,8.53125,COMPLETED_WITH_LIMITATIONS
sar_single_image,1,warm,200,6.939125000000601,0,0,5173.109375,5173.140625,0.03125,COMPLETED_WITH_LIMITATIONS
optical_sar,0,cold_or_first,200,192.35175000000027,0,2,5173.140625,5177.484375,4.34375,COMPLETED
optical_sar,1,warm,200,23.962834000000655,0,1,5177.484375,5177.546875,0.0625,COMPLETED
bitemporal,0,cold_or_first,200,758.2288750000004,96,462,5177.546875,5574.828125,397.28125,COMPLETED
bitemporal,1,warm,200,452.2463329999997,0,422,5574.828125,5575.015625,0.1875,COMPLETED
