ground_truth,total,0,1,2-5,6-10,11-20,21-50,51-100,101-200,201+,<null>,<error>,<other>
0,753,670,48,25,7,0,0,0,1,2,0,0,0
1,216,97,60,49,6,0,3,0,0,1,0,0,0
2-5,332,87,84,97,35,17,5,4,0,3,0,0,0
6-10,259,20,38,91,62,36,7,1,1,3,0,0,0
11-20,251,10,14,49,59,52,52,7,2,6,0,0,0
21-50,349,6,3,31,49,80,135,25,6,14,0,0,0
51-100,244,3,2,13,8,30,83,21,30,54,0,0,0
101-200,193,3,2,4,9,16,27,17,14,101,0,0,0
201+,350,3,0,1,2,3,5,3,7,326,0,0,0
<null>,0,0,0,0,0,0,0,0,0,0,0,0,0
<error>,0,0,0,0,0,0,0,0,0,0,0,0,0
