answer,ground_truth_count,prediction_count
0,753,899
1,216,251
2,109,132
3,80,112
4,85,63
5,58,53
6,75,61
7,64,22
8,48,64
9,36,49
10,36,41
11,33,17
12,27,15
13,23,13
14,30,23
15,33,39
16,31,19
17,17,50
18,20,9
19,24,31
20,13,18
21,22,3
22,17,6
23,19,22
24,10,1
25,21,8
26,14,6
27,20,12
28,9,42
29,8,8
30,12,10
31,16,39
32,13,6
33,9,4
34,9,1
35,12,10
36,9,2
37,13,3
38,7,3
39,8,1
40,14,15
41,13,5
42,9,0
43,13,6
44,8,41
45,4,7
46,7,0
47,11,15
48,10,23
49,4,10
50,8,8
51,11,5
52,7,1
53,7,1
54,7,0
55,4,5
56,7,1
57,15,7
58,6,2
59,10,0
60,8,0
61,7,0
62,6,0
63,6,0
64,11,0
65,3,1
66,5,10
67,6,1
68,4,0
69,4,3
70,3,0
71,5,5
72,7,0
73,4,1
74,3,10
75,4,6
76,6,0
77,6,0
78,6,0
79,5,2
80,6,0
81,6,0
82,3,0
83,5,0
84,9,0
85,2,0
86,3,0
87,1,0
88,0,1
89,6,5
90,4,2
91,1,0
92,2,0
93,2,5
94,2,1
95,3,1
97,0,1
98,3,1
99,3,0
101,3,0
102,6,0
103,2,0
104,4,0
105,4,0
106,3,8
108,2,0
109,2,0
110,1,0
111,3,0
112,4,0
113,4,0
114,2,0
115,2,1
116,5,14
117,3,1
118,2,0
119,1,3
120,3,0
121,3,0
122,5,0
123,2,0
124,3,0
125,3,1
126,3,0
127,2,8
130,2,0
131,2,0
133,2,0
135,2,0
136,3,0
137,1,0
138,3,0
139,2,0
140,4,0
141,7,0
142,3,17
143,3,0
144,1,0
145,2,0
146,3,0
147,3,0
148,1,0
149,1,0
150,2,0
151,2,0
152,6,0
154,1,0
156,5,0
159,2,2
160,1,0
161,2,0
162,4,0
163,2,0
165,1,0
166,2,0
167,2,0
168,3,0
169,1,0
171,2,0
175,2,0
177,1,0
178,1,0
179,2,1
181,3,0
182,1,0
183,1,0
186,3,0
187,2,0
188,1,3
189,2,0
192,1,0
193,3,2
194,1,0
196,4,0
197,1,0
199,3,0
200,1,0
201,3,0
202,1,0
203,1,0
204,3,0
205,2,0
207,1,0
208,2,0
209,2,0
211,1,0
212,2,0
213,1,0
214,1,0
215,3,0
221,1,0
222,1,0
225,1,0
226,1,0
227,1,0
230,1,0
231,2,0
233,2,0
234,1,0
236,1,0
240,1,0
241,3,0
243,1,0
244,1,0
246,6,0
247,2,0
248,1,0
249,2,0
250,1,0
251,1,0
252,1,0
253,1,0
255,1,0
259,1,0
260,1,0
262,1,0
265,1,0
267,1,0
268,2,0
272,1,0
273,2,0
280,1,0
281,2,0
282,1,0
285,3,0
286,1,0
288,3,0
291,2,0
293,1,0
294,1,0
296,1,0
297,3,0
300,1,0
301,1,0
302,1,0
304,3,0
305,1,0
306,1,0
308,1,0
309,2,0
311,1,0
312,1,0
313,2,0
315,3,0
316,1,0
317,2,0
326,2,0
327,1,0
329,1,0
331,1,0
333,4,0
335,1,0
336,2,0
342,1,0
348,1,0
365,1,0
371,2,0
379,1,0
381,1,0
385,1,0
387,1,0
392,2,0
394,3,0
395,1,0
399,2,0
401,1,0
402,1,0
403,2,0
404,1,0
406,1,0
410,4,0
413,1,0
416,2,0
420,1,0
429,1,0
434,1,0
435,1,0
440,1,0
442,2,0
444,2,0
447,1,0
449,1,0
451,1,0
454,1,0
475,1,0
480,1,0
483,1,0
485,1,0
496,1,0
497,1,0
498,1,0
505,1,0
508,1,0
522,2,0
533,1,0
541,1,0
557,2,0
563,1,0
564,1,0
565,1,0
574,2,0
577,1,0
590,2,0
594,1,0
597,3,0
598,1,0
610,2,0
616,2,0
619,1,0
620,1,0
637,1,0
639,1,0
644,2,0
652,2,0
677,1,0
681,1,0
693,1,0
698,1,0
699,1,0
710,1,0
740,1,0
764,1,0
777,1,0
779,1,0
780,1,0
820,2,0
821,1,0
826,1,0
827,1,0
828,1,0
830,1,0
