ground_truth,total,no,yes,rural,urban,0,10,2,20,246,27,33,3428,4,8,<null>
no,17,6,4,0,0,0,0,0,0,0,0,0,0,0,0,7
yes,13,2,5,0,0,0,0,0,0,0,0,0,0,0,0,6
rural,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
urban,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
246,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3428,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
<null>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
