model,ground_truth,total,0,10,2,20,201+,246,27,3,33,3428,4,40,53,8,9,<null>,no,rural,urban,yes
Old heuristic,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Old heuristic,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Old heuristic,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Old heuristic,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Old heuristic,246,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Old heuristic,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Old heuristic,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Old heuristic,3428,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Old heuristic,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Old heuristic,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Old heuristic,no,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,4
Old heuristic,rural,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Old heuristic,urban,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
Old heuristic,yes,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,5
RSVQA Specialist v1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RSVQA Specialist v1,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RSVQA Specialist v1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
RSVQA Specialist v1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RSVQA Specialist v1,201+,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RSVQA Specialist v1,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
RSVQA Specialist v1,33,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RSVQA Specialist v1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RSVQA Specialist v1,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RSVQA Specialist v1,no,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1
RSVQA Specialist v1,rural,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RSVQA Specialist v1,urban,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
RSVQA Specialist v1,yes,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11
