ground_truth,total,no,yes,rural,urban,0,10,2,20,201+,27,3,33,4,40,53,8,9
no,17,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yes,13,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rural,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
urban,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
201+,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
