question_type,ground_truth,total,no,yes,rural,urban,0,1,10,2,20,246,27,33,3428,4,8,<null>
comp,no,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
comp,yes,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
count,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4
count,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
count,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
count,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
count,246,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
count,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
count,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
count,3428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
count,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
count,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
presence,no,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
presence,yes,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
rural_urban,rural,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
rural_urban,urban,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
