run,index,tool,status,duration_ms
native,1,upload_received,success,0
native,2,file_type_validation,success,0
native,3,metadata_extraction,success,1
native,4,preview_generation,success,1
native,5,representation_detection,success,0
native,6,modality_detection,success,0
native,7,user_modality_override,success,0
native,8,query_routing,success,0
native,9,compatibility_validation,success,0
native,10,specialist_selection,success,0
native,11,query_classification,success,0
native,12,sar_preprocessing,success,0
native,13,sar_scene_statistics,success,0
native,14,evidence_generation,success,0
native,15,result_assembly,success,0
translated,1,upload_received,success,0
translated,2,file_type_validation,success,0
translated,3,metadata_extraction,success,1
translated,4,preview_generation,success,1
translated,5,representation_detection,success,0
translated,6,modality_detection,success,0
translated,7,user_modality_override,success,0
translated,8,query_routing,success,0
translated,9,compatibility_validation,success,0
translated,10,specialist_selection,success,0
translated,11,query_classification,success,0
translated,12,sar_preprocessing,success,0
translated,13,sar_scene_statistics,success,0
translated,14,evidence_generation,success,0
translated,15,result_assembly,success,0
translated,16,sar_translation_eligibility,success,0
translated,17,sar_translation_model_load,success,0
translated,18,sar_translation_preprocessing,success,0
translated,19,sar_translation_inference,success,67
translated,20,sar_translation_color_correction,success,0
translated,21,sar_translation_artifact_generation,success,10
translated,22,translated_optical_captioning,failed,0
translated,23,sar_optical_evidence_fusion,success,0
fallback,1,upload_received,success,0
fallback,2,file_type_validation,success,0
fallback,3,metadata_extraction,success,1
fallback,4,preview_generation,success,1
fallback,5,representation_detection,success,0
fallback,6,modality_detection,success,0
fallback,7,user_modality_override,success,0
fallback,8,query_routing,success,0
fallback,9,compatibility_validation,success,0
fallback,10,specialist_selection,success,0
fallback,11,query_classification,success,0
fallback,12,sar_preprocessing,success,0
fallback,13,sar_scene_statistics,success,0
fallback,14,evidence_generation,success,0
fallback,15,result_assembly,success,0
fallback,16,sar_translation_eligibility,success,0
fallback,17,sar_translation_model_load,success,0
fallback,18,sar_translation_preprocessing,success,0
fallback,19,sar_translation_inference,success,59
fallback,20,sar_translation_color_correction,success,0
fallback,21,sar_translation_artifact_generation,success,10
fallback,22,translated_optical_captioning,failed,0
fallback,23,sar_optical_evidence_fusion,success,0
