object_class,samples,mean_iou,accuracy_at_0.25,accuracy_at_0.50,accuracy_at_0.75,null_rate,average_boxes,average_confidence
airplane,4,0.0,0.0,0.0,0.0,1.0,0.0,
airport,4,0.10062500000000002,0.25,0.0,0.0,0.5,0.5,0.559676
baseball-diamond,4,0.027188750817527793,0.0,0.0,0.0,0.5,0.5,0.5764285
basketball-court,4,0.44859029890408336,0.75,0.5,0.25,0.0,1.0,0.53935225
bridge,4,0.10108717948717948,0.25,0.0,0.0,0.75,0.25,0.652203
chimney,4,0.15791807228915664,0.25,0.25,0.0,0.75,0.25,0.536477
container-crane,4,0.0,0.0,0.0,0.0,1.0,0.0,
dam,4,0.0,0.0,0.0,0.0,1.0,0.0,
expressway-service-area,4,0.13626718648473032,0.25,0.25,0.0,0.75,0.25,0.470757
expressway-toll-station,4,0.19515825297787853,0.25,0.25,0.25,0.75,0.25,0.487185
golffield,4,0.1065,0.25,0.0,0.0,0.75,0.5,0.521873
ground-track-field,4,0.0017749999999999992,0.0,0.0,0.0,0.5,0.5,0.5376645
harbor,4,0.03461841556373327,0.0,0.0,0.0,0.5,1.75,0.4986745
helicopter,4,0.42986772007229246,0.75,0.75,0.0,0.25,0.75,0.6058613333333334
helipad,1,0.0,0.0,0.0,0.0,1.0,0.0,
overpass,4,0.12002232558139533,0.25,0.0,0.0,0.75,0.25,0.459698
roundabout,4,0.0001499999999999996,0.0,0.0,0.0,0.75,0.25,0.451985
ship,4,0.09040145546903222,0.25,0.0,0.0,0.75,0.25,0.872264
soccer-ball-field,4,0.19502950322116988,0.25,0.25,0.25,0.5,0.5,0.5010645
stadium,4,0.5501406786113615,0.75,0.5,0.5,0.25,0.75,0.5216693333333334
storage-tank,4,0.1374141935483871,0.25,0.25,0.0,0.75,0.25,0.476644
swimming-pool,4,0.23108666865186828,0.25,0.25,0.25,0.25,0.75,0.6321266666666667
tennis-court,4,0.0,0.0,0.0,0.0,0.75,0.25,0.46318
trainstation,4,0.0,0.0,0.0,0.0,1.0,0.0,
vehicle,4,0.0,0.0,0.0,0.0,1.0,0.0,
windmill,3,0.19105325179416757,0.6666666666666666,0.0,0.0,0.0,1.0,0.5613983333333333
