dimension,group,samples,mean_iou,accuracy_at_0.25,accuracy_at_0.50,accuracy_at_0.75,null_rate,average_boxes,average_confidence
object_position,bottom,5,0.11946460017969451,0.2,0.2,0.0,0.6,0.4,0.602808
object_position,bottom-left,7,0.20308119913423206,0.42857142857142855,0.2857142857142857,0.0,0.42857142857142855,0.5714285714285714,0.54985875
object_position,bottom-middle,3,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.513123
object_position,bottom-right,3,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.50829
object_position,center,1,0.0005999999999999984,0.0,0.0,0.0,0.0,1.0,0.451985
object_position,left,2,0.0,0.0,0.0,0.0,1.0,0.0,
object_position,middle-left,3,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.684764
object_position,middle-right,6,0.0006500000000000007,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.534582
object_position,right,6,0.38822213342059064,0.6666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.5078952
object_position,top-left,5,0.1779257918552036,0.2,0.2,0.2,0.8,0.2,0.608387
object_position,top-middle,5,0.021751000654022235,0.0,0.0,0.0,0.6,0.4,0.5764285
object_position,top-right,4,0.0,0.0,0.0,0.0,1.0,0.0,
object_position,unspecified,50,0.14954828808387835,0.26,0.12,0.08,0.68,0.44,0.5579225625
relative_position,bottom-most,10,0.0534322380203651,0.1,0.0,0.0,0.8,0.7,0.59537
relative_position,left-most,8,0.06706451854627203,0.125,0.125,0.0,0.875,0.125,0.479436
relative_position,right-most,7,0.09340339274414748,0.14285714285714285,0.14285714285714285,0.0,0.5714285714285714,0.42857142857142855,0.5412046666666667
relative_position,top-most,7,0.056617648172512004,0.14285714285714285,0.0,0.0,0.5714285714285714,0.42857142857142855,0.6462243333333334
relative_position,unspecified,68,0.1574637756928124,0.2647058823529412,0.16176470588235295,0.08823529411764706,0.6029411764705882,0.4117647058823529,0.5417553703703704
