object_class,samples,mean_iou,accuracy_at_0.25,accuracy_at_0.50,accuracy_at_0.75,average_confidence
airplane,4,0.4232399076281581,0.5,0.5,0.5,0.1764519102871418
airport,4,0.1967437043786049,0.25,0.0,0.0,0.1740199215710163
baseball-diamond,4,0.2707858645298984,0.25,0.25,0.25,0.19160960987210274
basketball-court,4,0.5981289893388748,0.75,0.75,0.75,0.20181863382458687
bridge,4,0.101451296635787,0.25,0.0,0.0,0.16644658148288727
chimney,4,0.5847609117627144,1.0,0.5,0.5,0.19090371578931808
container-crane,4,0.18606952158734202,0.25,0.25,0.0,0.17902231588959694
dam,4,0.4572511538863182,0.5,0.5,0.25,0.172518040984869
expressway-service-area,4,0.5207336395978928,0.75,0.75,0.25,0.17350749671459198
expressway-toll-station,4,0.26804576884023845,0.25,0.25,0.25,0.18295732513070107
golffield,4,0.249910281971097,0.25,0.25,0.25,0.19078759849071503
ground-track-field,4,0.04070868791313842,0.0,0.0,0.0,0.16976799070835114
harbor,4,0.018676335690543056,0.0,0.0,0.0,0.20389309525489807
helicopter,4,0.4191860258579254,0.75,0.75,0.0,0.1881593018770218
helipad,1,0.8456094264984131,1.0,1.0,1.0,0.21434426307678223
overpass,4,0.28640539199113846,0.5,0.25,0.0,0.17138319462537766
roundabout,4,0.0017277332808589563,0.0,0.0,0.0,0.1678011603653431
ship,4,0.0789802148938179,0.25,0.0,0.0,0.21096838265657425
soccer-ball-field,4,0.18272604929370573,0.25,0.25,0.0,0.17264334484934807
stadium,4,0.7610147148370743,1.0,0.75,0.75,0.22175132483243942
storage-tank,4,0.36066724359989166,0.5,0.5,0.25,0.18992669880390167
swimming-pool,4,0.20588072203099728,0.25,0.25,0.25,0.21200990304350853
tennis-court,4,0.06622602496645413,0.0,0.0,0.0,0.18391693383455276
trainstation,4,0.0421028989367187,0.0,0.0,0.0,0.1660832017660141
vehicle,4,0.0,0.0,0.0,0.0,0.1913459300994873
windmill,3,0.10352306564648946,0.0,0.0,0.0,0.1907962312301
